Frame,Angle,Method
1103,179.45,leaflet
1104,179.45,leaflet
1105,178.87,leaflet
1106,178.47,leaflet
1107,177.30,leaflet
1108,177.70,leaflet
1109,177.09,leaflet
1110,175.89,leaflet
1111,175.89,leaflet
1112,174.50,leaflet
1113,174.48,leaflet
1114,173.85,leaflet
1115,170.99,leaflet
1116,170.20,leaflet
1117,167.54,leaflet
1118,168.92,leaflet
1119,166.63,leaflet
1120,166.04,leaflet
1121,165.10,leaflet
1122,164.27,leaflet
1123,161.96,leaflet
1124,161.14,leaflet
1125,158.54,leaflet
1126,157.56,leaflet
1127,155.87,leaflet
1128,153.70,leaflet
1129,151.21,leaflet
1130,149.00,leaflet
1131,146.31,leaflet
1132,143.94,leaflet
1133,141.62,leaflet
1134,138.18,leaflet
1135,134.73,leaflet
1136,130.94,leaflet
1137,127.12,leaflet
1138,124.22,leaflet
1139,52.83,laser
1140,50.62,laser
1141,47.95,laser
1142,45.18,laser
1143,42.78,laser
1144,38.64,laser
1145,35.12,laser
1146,32.87,laser
1147,25.47,laser
1148,21.10,laser
1149,22.13,laser
1150,22.43,laser
1151,22.08,laser
1152,26.61,laser
1153,26.81,laser
1154,26.82,laser
1155,26.88,laser
1156,26.71,laser
1157,26.69,laser
1158,26.70,laser
1159,26.74,laser
1160,26.72,laser
1161,26.73,laser
1162,26.78,laser
1163,26.82,laser
1164,26.74,laser
1165,26.76,laser
1166,26.86,laser
1167,26.81,laser
1168,26.85,laser
1169,26.80,laser
1170,26.71,laser
1171,26.72,laser
1172,26.79,laser
1173,26.72,laser
1174,26.86,laser
1175,26.82,laser
1176,26.69,laser
1177,26.64,laser
1178,26.71,laser
1179,26.76,laser
1180,26.82,laser
1181,26.75,laser
1182,26.75,laser
1183,26.88,laser
1184,26.64,laser
1185,26.74,laser
1186,26.72,laser
1187,26.71,laser
1188,26.74,laser
1189,26.69,laser
1190,26.77,laser
1191,26.81,laser
1192,26.81,laser
1193,26.84,laser
1194,26.77,laser
1195,26.78,laser
1196,26.72,laser
1197,26.86,laser
1198,26.76,laser
1199,26.76,laser
1200,26.78,laser
1201,26.74,laser
1202,26.70,laser
1203,26.74,laser
1204,26.72,laser
1205,26.76,laser
1206,26.71,laser
1207,26.75,laser
1208,26.87,laser
1209,26.77,laser
1210,26.79,laser
1211,26.78,laser
1212,26.87,laser
1213,26.88,laser
1214,26.87,laser
1215,26.93,laser
1216,26.80,laser
1217,26.97,laser
1218,26.92,laser
1219,26.85,laser
1220,26.83,laser
1221,26.88,laser
1222,26.91,laser
1223,26.80,laser
1224,26.78,laser
1225,26.76,laser
1226,26.91,laser
1227,26.79,laser
1228,26.87,laser
1229,26.88,laser
1230,26.83,laser
1231,26.82,laser
1232,26.70,laser
1233,26.55,laser
1234,26.67,laser
1235,26.90,laser
1236,26.78,laser
1237,26.76,laser
1238,26.68,laser
1239,26.67,laser
1240,26.70,laser
1241,26.64,laser
1242,26.64,laser
1243,26.48,laser
1244,26.50,laser
1245,26.72,laser
1246,26.71,laser
1247,26.72,laser
1248,26.74,laser
1249,26.74,laser
1250,26.83,laser
1251,26.86,laser
1252,26.92,laser
1253,26.84,laser
1254,26.74,laser
1255,26.83,laser
1256,26.75,laser
1257,26.71,laser
1258,26.94,laser
1259,26.90,laser
1260,26.89,laser
1261,26.86,laser
1262,26.83,laser
1263,26.80,laser
1264,26.82,laser
1265,26.90,laser
1266,26.83,laser
1267,26.76,laser
1268,26.79,laser
1269,26.71,laser
1270,26.82,laser
1271,26.75,laser
1272,26.75,laser
1273,26.66,laser
1274,26.77,laser
1275,26.69,laser
1276,26.73,laser
1277,26.71,laser
1278,26.73,laser
1279,26.70,laser
1280,26.69,laser
1281,26.62,laser
1282,26.71,laser
1283,26.66,laser
1284,26.69,laser
1285,26.77,laser
1286,26.79,laser
1287,26.86,laser
1288,26.79,laser
1289,26.82,laser
1290,26.81,laser
1291,26.82,laser
1292,26.80,laser
1293,26.77,laser
1294,26.79,laser
1295,26.74,laser
1296,26.78,laser
1297,26.67,laser
1298,26.73,laser
1299,26.83,laser
1300,26.80,laser
1301,26.82,laser
1302,26.78,laser
1303,26.82,laser
1304,26.82,laser
1305,26.82,laser
1306,26.83,laser
1307,26.80,laser
1308,26.80,laser
1309,26.87,laser
1310,26.87,laser
1311,26.76,laser
1312,26.72,laser
1313,26.76,laser
1314,26.71,laser
1315,26.72,laser
1316,26.81,laser
1317,26.83,laser
1318,26.87,laser
1319,26.77,laser
1320,26.82,laser
1321,26.86,laser
1322,26.87,laser
1323,26.80,laser
1324,26.77,laser
1325,26.73,laser
1326,26.81,laser
1327,26.81,laser
1328,26.77,laser
1329,26.79,laser
1330,26.90,laser
1331,26.88,laser
1332,26.86,laser
1333,26.84,laser
1334,26.85,laser
1335,26.93,laser
1336,26.83,laser
1337,26.83,laser
1338,26.84,laser
1339,26.84,laser
1340,26.80,laser
1341,26.79,laser
1342,26.79,laser
1343,26.84,laser
1344,26.80,laser
1345,26.78,laser
1346,26.76,laser
1347,26.79,laser
1348,26.84,laser
1349,26.74,laser
1350,26.67,laser
1351,26.69,laser
1352,26.81,laser
1353,26.74,laser
1354,26.80,laser
1355,26.66,laser
1356,26.73,laser
1357,26.70,laser
1358,26.77,laser
1359,26.62,laser
1360,26.68,laser
1361,26.63,laser
1362,26.68,laser
1363,26.71,laser
1364,26.72,laser
1365,26.72,laser
1366,26.67,laser
1367,26.65,laser
1368,26.72,laser
1369,26.74,laser
1370,26.69,laser
1371,26.76,laser
1372,26.79,laser
1373,26.62,laser
1374,26.74,laser
1375,26.67,laser
1376,26.72,laser
1377,26.77,laser
1378,26.70,laser
1379,26.68,laser
1380,26.74,laser
1381,26.57,laser
1382,26.53,laser
1383,26.62,laser
1384,26.67,laser
1385,26.71,laser
1386,26.72,laser
1387,26.76,laser
1388,26.80,laser
1389,26.75,laser
1390,26.55,laser
1391,26.79,laser
1392,26.63,laser
1393,26.74,laser
1394,26.67,laser
1395,26.66,laser
1396,26.69,laser
1397,26.66,laser
1398,26.70,laser
1399,26.58,laser
1400,26.67,laser
1401,26.71,laser
